STATUS | wrapper  | 2023/12/21 03:44:21 | --> Wrapper Started as Console
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,661 INFO [WrapperSimpleAppMain] [RemoteAgentHttpClientFactory] Creating a new HTTP client...
INFO   | jvm 3    | 2023/12/21 03:44:52 | 2023-12-21 03:44:52,838 INFO [WrapperSimpleAppMain] [AgentContext] Authenticating against Bamboo server at http://bamboo-server:8085/agentServer/
INFO   | jvm 3    | 2023/12/21 03:44:53 | 2023-12-21 03:44:53,038 INFO [WrapperSimpleAppMain] [AgentContext] Successfully authenticated with Bamboo server
INFO   | jvm 3    | 2023/12/21 03:44:53 | Exiting due to fatal exception.
INFO   | jvm 3    | 2023/12/21 03:44:53 | java.lang.IllegalArgumentException: URLDecoder: Illegal hex characters in escape (%) pattern - Error at index 0 in: ";""
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/java.net.URLDecoder.decode(URLDecoder.java:232)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/java.net.URLDecoder.decode(URLDecoder.java:142)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.processPair(GetFingerprintResponse.java:45)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.<init>(GetFingerprintResponse.java:30)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initFingerprint(AgentContext.java:133)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initServerSession(AgentContext.java:114)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.run(AgentContext.java:101)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.run(RemoteAgentBootstrap.java:118)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.main(RemoteAgentBootstrap.java:56)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.AgentBootstrap.main(AgentBootstrap.java:21)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/java.lang.reflect.Method.invoke(Method.java:566)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:349)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.base/java.lang.Thread.run(Thread.java:829)
INFO   | jvm 3    | 2023/12/21 03:44:53 | 2023-12-21 03:44:53,042 FATAL [WrapperSimpleAppMain] [RemoteAgentBootstrap] Exiting due to fatal exception.
INFO   | jvm 3    | 2023/12/21 03:44:53 | java.lang.IllegalArgumentException: URLDecoder: Illegal hex characters in escape (%) pattern - Error at index 0 in: ";""
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.net.URLDecoder.decode(URLDecoder.java:232) ~[?:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.net.URLDecoder.decode(URLDecoder.java:142) ~[?:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.processPair(GetFingerprintResponse.java:45) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.GetFingerprintResponse.<init>(GetFingerprintResponse.java:30) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initFingerprint(AgentContext.java:133) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.initServerSession(AgentContext.java:114) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.AgentContext.run(AgentContext.java:101) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.run(RemoteAgentBootstrap.java:118) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.RemoteAgentBootstrap.main(RemoteAgentBootstrap.java:56) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at java.lang.reflect.Method.invoke(Method.java:566) ~[?:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at com.atlassian.bamboo.agent.bootstrap.AgentBootstrap.main(AgentBootstrap.java:21) ~[bamboo-agent-bootstrap.jar:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:?]
INFO   | jvm 3    | 2023/12/21 03:44:53 | 	at jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:?]
